ObjectID,Exhibitions
4380, 2167
4381,76
4386,2069
4415,3193
4432,2062
4432, 69
4432, 956
4432, 2548
4432, 170
4432, 2689
4432, 563
4432, 2935
4432, 2986
4432, 3300
4432, 3423
4440,190
4440, 1993
4441,358
4443,275
4465,631
4468,246
4468, 2752
4493,2968
4497,3334
4497, 3300
4498,358
4498, 2513
4506,2054
4506, 10
4506, 2513
4506, 2704
4517,428
4517, 438
4517, 229
4517, 2069
4517, 2027
4517, 2389
4517, 2404
4517, 611
4517, 432
4519,631
4523,358
4523, 69
4523, 868
4523, 3024
4524,2351
4539,1954
4539, 2054
4539, 2227
4539, 2513
4539, 2704
4541,316
4545,1958
4545, 962
4545, 955
4570,956
4579,736
4579, 948
4597,1955
4617,2167
4617, 2165
4625,2239
4645,454
4650,2054
4650, 2513
4650, 2704
4659,2513
4660,2237
4660, 3294
4664,2054
4664, 2513
4664, 2704
4664, 2237
4668,2514
4668, 170
4668, 3172
4668, 3300
4675,2674
4675, 2870
4680,908
4680, 438
4680, 429
4680, 2069
4680, 432
4680, 2708
4682,648
4682, 358
4705,305
4705, 306
4705, 335
4705, 3363
4706,1954
4706, 2227
4706, 2513
4713,1954
4713, 2227
4713, 2513
4738,6
4738, 2159
4738, 442
4738, 13
4738, 2839
4738, 2297
4738, 2259
4738, 3152
4741,2345
4764,2089
4768,2054
4768, 358
4768, 2513
4768, 2704
4768, 796
4782,2170
4782, 2165
4784,292
4813,13
4823,1956
4823, 34
4823, 2198
4824,2069
4824, 1956
4829,338
4829, 2069
4829, 3148
4837,948
4837, 3535
4851,2071
3830,454
4854,1958
4854, 955
4854, 246
4854, 2752
4856,1956
4856, 2069
4856, 190
4856, 631
4856, 1993
4856, 404
4857,2071
4857, 3456
4887,358
4887, 2877
4887, 3188
4896,3099
4900,1994
4900, 13
4903,34
4903, 2666
4903, 2237
4911,316
4911, 3300
4916,2857
4916, 2929
4922,631
4922, 906
4924,2054
4924, 2513
4924, 2704
19386,454
19386, 3300
4954,2689
4970,10
4970, 2172
4970, 2173
4981,2513
4986,1994
4989,2069
4989, 484
4999,3081
5002,2156
5009,2071
13076,3500
5026,2513
5027,3222
5030,358
5030, 246
5030, 2752
5030, 3009
5036,1994
5036, 2289
5036, 3490
5036, 3231
5040,34
5040, 948
5043,2046
5043, 2159
5043, 2626
5043, 3008
5048,2299
5062,2699
5080,358
5083,2111
5083, 2129
5083, 721
5087,880
5094,945
5098,1958
5101,2064
5101, 316
5105,604
5120,358
5120, 2718
5124,275
5130,170
5130, 3606
5137,2069
5141,275
5142,358
5161,2071
5165,146
5165, 471
5166,13
5166, 2237
5166, 3294
5169,581
5169, 2069
5171,2674
5176,1954
5194,1966
5194, 956
5194, 505
5194, 3018
5206,34
5206, 2601
5206, 13
5228,358
5228, 2699
5237,146
5241,2938
5249,3702
5269,69
5269, 563
5288,2513
5299,505
5299, 2054
5299, 2513
5299, 2704
5301,2064
5301, 386
5301, 3146
5312,2141
5312, 2159
5312, 532
5312, 2749
5312, 3607
5328,880
5338,808
5338, 956
5349,1956
5349, 631
5355,1954
5355, 2054
5355, 2227
5355, 2513
5355, 2704
5355, 3300
5360,1994
5380,2816
5391,2514
5408,1955
5408, 366
5408, 442
5408, 2113
5408, 2159
5408, 2286
5408, 631
5408, 484
5408, 2749
5408, 13
5408, 316
5408, 3119
5408, 3120
5408, 3287
5408, 3300
5409,2672
5421,469
5437,2064
5437, 192
5439,563
5452,34
5452, 2178
5452, 316
5462,2289
5462, 3040
5462, 3171
5464,2237
5464, 2838
5464, 3294
5489,2513
5498,1956
5498, 631
5498, 2283
5498, 13
5498, 3300
5501,324
5511,2159
5511, 2545
5511, 2297
5532,2176
5539,2623
5539, 3241
5539, 3229
5556,2069
5567,2159
5567, 484
5567, 2655
5567, 3008
5567, 2297
5577,2682
5578,2054
5578, 2513
5578, 2704
5582,292
5582, 320
5597,34
5613,721
5614,1954
5614, 2227
5614, 2513
5632,69
5634,13
5634, 2672
5667,3300
5667, 3607
5671,1955
5671, 2749
5685,34
5690,2675
5710,3193
5710, 3240
5717,275
5718,2069
5718, 441
5718, 404
5718, 432
5729,1988
5729, 2245
5729, 2289
5751,1958
5751, 955
5771,2382
5780,961
5780, 2339
5780, 215
5780, 170
5780, 316
5780, 2109
5780, 73
5780, 3089
5780, 3310
5780, 3586
5782,1956
5782, 3300
5788,2918
5790,956
5793,454
5797,1956
5797, 631
5797, 906
5799,3061
5809,34
5818,581
5818, 195
5818, 2069
5821,945
5833,578
5833, 948
5833, 3063
5839,3532
5868,840
5868, 2115
5868, 3363
5872,1954
5872, 2718
5872, 2821
5872, 3193
5881,2156
5881, 2165
5881, 2167
5881, 2938
5902,2054
5902, 2513
5902, 2704
5913,1958
5913, 955
5918,956
5924,2689
5933,2270
5953,187
5953, 2069
5973,1954
5973, 2054
5973, 358
5973, 2227
5973, 2513
5973, 2704
5987,2513
6005,2228
6012,292
6038,2054
6038, 2513
6038, 2704
6038, 2237
6040,306
6053,454
6053, 3696
6067,1994
6067, 2514
6083,2064
6114,1994
6114, 2513
6125,2748
6126,275
6127,2069
6127, 3148
6128,2054
6128, 2513
6128, 2704
6141,34
6141, 3137
6141, 3300
6146,2069
6150,215
6150, 3300
6164,34
6164, 3099
6172,358
6172, 2551
6176,796
6180,961
6180, 3310
6185,13
6185, 2857
6192,358
6193,316
6193, 2377
6194,2513
6203,1954
6203, 2227
6204,454
6204, 3023
6211,2755
6213,2514
6223,1994
6244,34
6252,709
6252, 320
6257,631
6263,2167
6263, 2850
6267,2194
6267, 2345
6276,2298
6280,1994
6287,2689
6301,3300
6305,275
6318,2513
6355,2172
6355, 2513
6356,1962
6356, 405
6356, 2672
6357,1958
6365,2674
6366,1994
6366, 2238
6959,1956
6393,1994
6393, 3702
6401,902
6417,358
6417, 2699
6435,2242
6435, 2241
6437,484
6437, 2655
6437, 170
6457,3620
6457, 386
6457, 2475
6460,945
6460, 2642
6466,2089
6466, 2507
6466, 2237
6492,358
6495,1956
6495, 631
6505,2069
6513,2513
6514,2089
6514, 2177
6514, 2121
6521,3193
6539,358
6539, 2513
6550,320
6550, 503
6551,2345
6565,3137
6580,358
6580, 215
6580, 2816
6596,1957
6601,187
6611,309
6636,2744
6636, 2990
6640,2069
6640, 3500
6665,2514
6665, 3172
6720,1958
6720, 955
6727,2174
6737,296
6737, 655
6737, 2069
6737, 3148
6737, 3628
6746,2071
6754,2749
6754, 3362
6776,1957
6778,2069
6778, 3500
6779,454
6788,2237
6796,2614
6796, 3193
6796, 3240
6802,397
6807,2972
6813,2069
6824,246
6824, 2752
6825,2089
6829,246
6829, 2752
6831,1994
6840,2172
6844,34
6844, 1994
6845,316
6852,358
6852, 3363
6855,2987
6857,2174
6857, 2200
6861,452
6861, 453
6861, 2829
6861, 2855
6861, 3310
6873,3193
6890,581
6890, 195
6890, 2069
6933,2249
6950,2513
6956,2513
6972,246
6972, 2752
6999,2513
6999, 3240
7018,3345
7074,324
7074, 170
7076,1994
7076, 1954
7076, 2513
7078,2507
7087,2071
7101,2513
7101, 246
7101, 2752
7122,1954
7122, 2227
7122, 2513
7131,880
7133,2237
7133, 2524
7136,2646
7136, 721
7154,2513
7155,13
7155, 306
7155, 2115
7155, 2339
7155, 170
7155, 2691
7155, 956
7158,34
7158, 2551
7158, 170
7158, 13
7158, 358
7171,1994
7171, 215
7175,1994
7175, 13
7176,438
7176, 429
7176, 2069
7184,2054
7184, 2513
7184, 2704
7186,2513
7186, 2691
7188,316
7188, 2894
7199,358
7200,721
7203,2069
40848,2200
7208,275
7213,631
7213, 906
7213, 3300
7216,1954
7216, 2513
7216, 2227
7222,2178
7222, 3522
7225,2513
7229,2121
7245,3222
7249,2152
7249, 2179
7249, 2354
7249, 2832
7263,275
7263, 3673
7266,484
7272,3225
7279,2102
7279, 3225
7287,146
7287, 948
7287, 316
7292,633
7292, 2205
7292, 146
7292, 2653
7292, 2997
39852,2189
40065,1956
7312,1994
7316,2054
7316, 2513
7316, 2704
7316, 564
7354,961
7359,69
7359, 956
7359, 2757
7359, 3188
7359, 3300
7359, 3423
38021,2189
38268,2514
7395,2230
7395, 721
7398,2064
7398, 386
7399,316
7399, 358
7399, 2513
7412,3193
7424,734
7424, 1993
7424, 637
7424, 2069
7424, 190
7424, 2446
7424, 432
7435,945
7441,13
7441, 2507
7441, 3236
7447,2816
7448,34
7448, 1994
7450,1994
7477,3334
7479,2513
7482,2089
7482, 2550
7482, 2585
7482, 3076
7502,187
7502, 2069
7504,604
7509,215
7509, 353
7509, 961
7509, 316
7523,2054
7523, 2513
7523, 2704
37866,1956
37672,2971
37701,1956
37701, 631
7567,2071
7578,2507
7583,564
7583, 721
7583, 316
7583, 2052
7586,2209
7586, 405
7587,3564
7599,2089
7603,1954
7639,2069
7639, 3148
7657,2089
7680,1954
7680, 2227
7680, 2513
7699,6
7699, 442
7699, 170
7699, 13
7699, 316
7699, 3080
7699, 2297
7699, 3110
7699, 3191
35216,2237
35440,309
7706,2172
7713,275
7716,2345
34823,3097
7721,2069
34401,2205
34401, 2344
34401, 3097
7771,2237
7780,306
7790,2071
7795,404
7795, 432
7797,2513
7797, 2718
33320,400
7803,2513
7831,2513
7836,1956
7836, 631
7838,753
7838, 3427
7840,2838
7841,3363
7841, 358
32002,1956
32113,2225
7865,2379
7865, 133
31129,309
7886,2089
7896,2074
7896, 2429
7896, 2434
7896, 2674
7902,484
7902, 335
7902, 2069
7902, 2366
7902, 913
7902, 2297
7902, 2376
7902, 404
7902, 2017
7902, 432
7902, 3008
7911,880
7916,974
7916, 6
7916, 1962
7916, 2113
7916, 442
7916, 2228
7916, 2159
7916, 840
7916, 13
7916, 316
7916, 2953
7916, 2297
7916, 108
7916, 3106
7916, 2497
7916, 3107
7916, 2259
7916, 3300
7922,563
7922, 3316
7927,2069
7939,2326
7939, 3300
7962,2273
7962, 2718
7962, 2821
7970,2832
7980,2672
7981,2755
7985,2459
7985, 2674
7985, 3300
30267,97
8010,2174
8016,2747
29600,400
8029,872
8029, 2069
8029, 919
8029, 631
8029, 906
8029, 484
8029, 404
8029, 3300
29373,906
8061,34
8065,2088
8065, 2514
8076,2059
8079,6
8079, 442
8079, 3300
8084,442
8084, 2113
8084, 2159
8084, 2562
8084, 2622
8084, 316
8097,380
8097, 2289
8100,1994
8101,2152
8101, 2179
8101, 432
8101, 2832
8108,2816
26496,796
26893,2200
26893, 2237
27535,2054
27535, 2513
27535, 2704
8120,2172
8120, 2345
8129,2156
4520,2200
8177,581
8177, 1993
8177, 2069
8177, 195
8177, 190
8178,246
8178, 2752
8182,1954
8182, 2227
8182, 2513
8182, 246
8182, 2752
8186,484
8186, 3300
8187,2064
8196,3021
8217,2411
8226,215
8243,2092
8243, 2335
8243, 2976
8243, 3051
8248,358
8248, 2699
8251,581
8251, 2069
8268,2089
8272,74
8272, 1994
8272, 316
8279,631
8293,1956
8293, 484
8304,358
8328,1956
8334,438
8334, 429
8334, 728
8334, 2069
8334, 404
8334, 2708
8338,880
8347,945
8349,2644
8349, 2360
8360,1956
8360, 2069
8360, 631
8360, 872
8360, 366
8366,2001
8366, 2165
8366, 2164
8366, 2167
8366, 3300
8375,2054
8375, 2513
8375, 2704
8393,34
8393, 3137
8396,2069
8396, 404
8404,2513
8417,1956
8417, 631
24701,2868
8441,484
8441, 2678
8453,2495
8461,2987
8491,1962
8491, 2113
8491, 484
8491, 316
8491, 3300
8497,2071
8509,1994
8516,484
8526,2672
8527,2071
8540,2513
8545,3564
24239,2069
24239, 187
8592,3193
8592, 3240
8597,945
24003,1954
24003, 2227
23782,400
23782, 3097
8635,2514
23520,1956
8652,1956
8652, 335
8652, 631
8652, 484
8655,945
8656,215
8656, 350
8656, 2410
8662,2069
8690,1956
8699,148
8699, 358
8699, 2513
8699, 3363
8699, 13
8725,358
8736,3300
8754,2354
8754, 3359
8763,2514
8770,2462
8771,1956
8771, 631
8771, 2197
8776,324
8780,69
8780, 215
8780, 563
8780, 3423
8783,605
8783, 948
8783, 3191
8799,2607
8801,296
8801, 655
8801, 2069
8801, 3148
8801, 3628
8803,296
8803, 338
8803, 655
8803, 2069
8803, 728
8803, 404
8803, 432
8803, 366
8803, 3628
8806,648
8826,358
8826, 3164
8830,1994
8846,2755
21233,2666
8853,2069
21002,1956
21002, 2069
8871,728
8871, 2069
8871, 2318
8871, 2391
8871, 404
8871, 432
8871, 2987
8872,2071
8872, 3456
8876,2513
8876, 2237
8887,1954
8887, 2227
8887, 2513
8887, 3002
20577,1956
20853,1956
20853, 2902
8890,945
8897,1994
8897, 215
8897, 3334
8916,2237
20497,471
8929,2497
8931,2033
20114,1994
8953,1971
8953, 2017
8953, 2018
8953, 2069
8953, 484
8953, 2300
8953, 2319
8953, 335
8953, 2359
8953, 2297
8953, 2376
8953, 404
8953, 432
8953, 2708
8953, 3008
18428,3097
8959,358
8959, 3668
8960,454
8960, 190
8960, 1993
8962,358
17595,2189
8967,275
8979,2237
8979, 3102
8979, 3294
8994,2089
16248,1956
16320,1956
16839,309
9003,296
9003, 338
9003, 655
9003, 2069
9003, 2531
9003, 3628
9008,2834
15885,1956
9018,2178
9018, 948
9018, 2374
9018, 405
9022,3300
9022, 3673
9032,796
9032, 661
9054,902
9054, 3246
9057,1994
9057, 2506
9061,3424
9068,244
9070,1956
9070, 300
9071,2672
14276,1956
9080,3300
9087,2165
9087, 3300
9093,484
9093, 2689
9100,945
9118,2054
9118, 2513
9118, 2704
9118, 2896
9118, 2939
9118, 3055
9120,287
9120, 648
9120, 13
9129,2987
12526,1956
13179,2177
13179, 2121
12357,2703
12357, 2830
12357, 2863
9194,2069
9204,2759
9205,2581
9206,1993
9206, 484
9206, 2069
9206, 190
9206, 404
9206, 432
9206, 2706
11513,2749
9210,2513
9210, 3570
9232,3276
9237,3300
9237, 3276
11117,2574
8665,1956
9286,2299
9286, 107
9286, 826
9286, 3171
9292,2189
9299,2089
9300,1955
9300, 484
9300, 366
9300, 2749
9322,2054
9322, 2227
9322, 2513
9322, 2704
8519,2179
8519, 2354
8519, 3504
8318,1956
8363,1956
9339,454
9339, 2513
9340,1954
9340, 2227
9340, 2513
9340, 2237
9340, 3294
9345,2089
9345, 3076
9356,137
9356, 116
9356, 2069
9356, 2403
9356, 2414
9356, 2454
9356, 2455
9356, 2749
9356, 3271
7872,1956
9373,2069
9373, 438
9373, 229
9373, 830
9373, 2297
9373, 2361
9373, 404
9373, 432
9373, 2874
9394,2178
9396,2513
7044,2513
7537,34
9412,945
9417,2113
9417, 2159
9417, 2328
9435,2002
9443,851
9452,2321
9453,2173
9453, 3240
9456,187
9456, 2069
9461,487
9461, 3089
9461, 3316
9461, 453
9461, 3310
9463,13
9463, 1977
9463, 358
9463, 2289
9463, 2699
40033,3488
40209,2513
9483,945
9484,1994
9484, 2507
9493,2069
9499,3300
9513,1994
9513, 2994
9513, 3390
9521,2237
9530,429
9530, 2069
9530, 432
9532,2237
9540,945
9551,1954
9551, 2227
9551, 2513
9556,2172
9557,2513
9565,2513
9570,1967
9570, 666
9570, 2576
9570, 3310
9586,2759
9588,721
9596,2237
38264,10
38264, 2513
9606,1994
9606, 2054
9606, 2513
9606, 2704
9616,1954
9616, 2227
9620,2172
9620, 850
9620, 215
9628,2830
9628, 2863
9633,2054
9633, 2513
9633, 2704
9638,2062
38040,10
9651,2071
9658,1956
9658, 2069
9658, 631
9658, 872
9658, 906
9658, 919
9660,2237
35927,309
9678,2987
9678, 3013
9680,2054
9680, 2513
9680, 2704
9684,296
9684, 338
9684, 2069
9687,2071
9694,2071
9704,961
9704, 2049
9704, 2064
9704, 2932
9711,3514
9725,2156
9725, 2164
9725, 2165
9725, 2167
9731,335
9731, 2033
9731, 2174
9747,2069
9747, 404
9754,1979
9763,3172
9788,429
9788, 3271
9790,2219
9790, 2071
9801,1956
9801, 631
9802,683
9802, 2069
9802, 3500
9809,1956
9811,246
9811, 2752
9817,631
9820,496
9820, 2059
9820, 2159
9820, 956
9820, 3300
9827,386
9833,438
9833, 429
9833, 2069
9834,244
82299,2761
9840,34
9848,358
34241,2237
9860,69
9860, 2689
9860, 3423
9863,13
9864,2513
9866,2749
9874,1994
9874, 116
9911,338
9911, 296
9911, 2069
9911, 404
9911, 3148
9911, 3628
33051,10
33051, 2345
9925,2237
9927,631
9927, 906
9947,244
9947, 3427
9956,358
9956, 2513
9957,2699
9957, 717
9960,2747
32035,2513
9977,2054
9977, 2089
9977, 2513
9977, 2704
9977, 2237
9979,108
9980,2069
9982,2507
9994,1994
9997,1994
9997, 3360
10000,2219
10000, 2071
10008,2643
10015,2062
10015, 2543
10015, 2689
10015, 3300
10015, 3423
10017,3222
10019,309
10019, 2237
10032,2747
10037,34
10042,2219
10042, 2071
10057,2069
10062,2816
10078,2113
10078, 2159
10078, 2394
10078, 2449
10078, 2450
10078, 2270
10078, 484
10078, 2529
10078, 965
10078, 2580
10078, 2640
10078, 2662
10078, 2749
10078, 2881
10078, 3007
10078, 3050
10078, 2297
10078, 3108
10078, 3109
10078, 3110
10078, 3111
10078, 3112
10078, 3114
10090,1994
10097,442
10097, 1955
10097, 2113
10097, 2159
10097, 631
10097, 366
10097, 2749
10114,2514
10114, 2759
