artwork_id,creator_id
81243,7689
81240,7689
81241,7689
81238,7689
81239,7689
81236,7689
81237,7689
81234,7689
81235,7689
81230,7689
81231,7689
81228,7689
81229,7689
81226,7689
81227,7689
81225,7689
81223,7689
81224,7689
81222,7689
81206,18059
80970,17749
80969,17749
77709,7689
77710,7689
77707,7689
77708,7689
77705,7689
77706,7689
77703,7689
77704,7689
77701,7689
77702,7689
77700,7689
38891,7689
34403,7689
30411,18059
29593,18179
26422,7689
23322,7689
22150,7689
21272,7689
21138,7689
19912,7870
17718,7689
17553,7288
17323,7689
17263,7689
14295,7689
10228,7689
9940,7689
9603,7288
20829,5207
21111,1903
7782,7689
6633,7689
6402,17749
6214,7689
5333,7689
5863,3209
8184,6727
10117,2132
12271,2595
16017,4570
22688,6727
24316,2825
26519,5564
28436,4371
28866,6727
31172,6727
3809,7689
82267,6819
32078,5311
36349,2163
83656,7689
83651,7689
83625,7689
83615,7689
83597,7689
83585,7689
83307,7689
83301,7689
83299,7689
83298,7689
83219,7689
83207,7689
83180,7689
83164,7689
83088,7689
83078,7689
83064,7689
83062,7689
83061,7689
83046,7689
83045,7689
83039,7689
83038,7689
81290,7689
81268,7689
81267,7689
81245,7689
10473,7689
1971,7689
1929,7689
32540,1889
5939,3300
12456,2595
17994,5311
33428,5127
82273,4493
82263,4493
82305,4493
82308,4493
82311,4493
82387,4493
82481,6819
82331,4493
82340,6819
82472,8127
82475,4493
82502,6819
82434,4493
82479,4493
82313,6819
82431,4493
82278,4493
82292,4493
82326,6819
82373,4493
82388,4493
82441,4493
82452,4493
82488,3742
82488,4493
82494,4493
82504,3742
82504,4493
82274,4493
12013,6990
82474,4493
84344,3091
6697,7564
4553,3398
7959,5315
8495,3073
10408,16327
14701,6979
17415,6921
21167,5746
32005,4944
39107,34656
85438,16195
98114,34308
98165,34308
15523,3091
15863,7689
23002,6477
24620,6477
25475,6477
35934,3462
84341,3091
84342,3091
84343,3091
